"occurences","queries","contexts.name","contexts.count"
25,"i haven't received them & it's been 3 weeks","waiting-feedback-root",5
25,"i haven't received them & it's been 3 weeks","waiting-restart-conversation",5
25,"i haven't received them & it's been 3 weeks","waiting-support-cancel-issue",2
25,"i haven't received them & it's been 3 weeks","waiting-pmtmethods-debit-card",2
25,"i haven't received them & it's been 3 weeks","waiting-dirdep-confirm-form",1
25,"i haven't received them & it's been 3 weeks","waiting-dirdep-learn-more",1
25,"i haven't received them & it's been 3 weeks","waiting-pmts-general-non-custodial",1
25,"i haven't received them & it's been 3 weeks","waiting-pmts-general-receive-payments",1
25,"i haven't received them & it's been 3 weeks","waiting-support-revise-issue",1
25,"i haven't received them & it's been 3 weeks","waiting-support-submit-issue",1
25,"i haven't received them & it's been 3 weeks","ticketinfo",1
25,"I'm trying to check on one of my child support cases","waiting-feedback-root",5
25,"I'm trying to check on one of my child support cases","waiting-restart-conversation",5
25,"I'm trying to check on one of my child support cases","waiting-support-cancel-issue",2
25,"I'm trying to check on one of my child support cases","waiting-pmtmethods-debit-card",2
25,"I'm trying to check on one of my child support cases","waiting-dirdep-confirm-form",1
25,"I'm trying to check on one of my child support cases","waiting-dirdep-learn-more",1
25,"I'm trying to check on one of my child support cases","waiting-pmts-general-non-custodial",1
25,"I'm trying to check on one of my child support cases","waiting-pmts-general-receive-payments",1
25,"I'm trying to check on one of my child support cases","waiting-support-revise-issue",1
25,"I'm trying to check on one of my child support cases","waiting-support-submit-issue",1
25,"I'm trying to check on one of my child support cases","ticketinfo",1
25,"How can I check on that","waiting-feedback-root",5
25,"How can I check on that","waiting-restart-conversation",5
25,"How can I check on that","waiting-support-cancel-issue",2
25,"How can I check on that","waiting-pmtmethods-debit-card",2
25,"How can I check on that","waiting-dirdep-confirm-form",1
25,"How can I check on that","waiting-dirdep-learn-more",1
25,"How can I check on that","waiting-pmts-general-non-custodial",1
25,"How can I check on that","waiting-pmts-general-receive-payments",1
25,"How can I check on that","waiting-support-revise-issue",1
25,"How can I check on that","waiting-support-submit-issue",1
25,"How can I check on that","ticketinfo",1
25,"My case ","waiting-feedback-root",5
25,"My case ","waiting-restart-conversation",5
25,"My case ","waiting-support-cancel-issue",2
25,"My case ","waiting-pmtmethods-debit-card",2
25,"My case ","waiting-dirdep-confirm-form",1
25,"My case ","waiting-dirdep-learn-more",1
25,"My case ","waiting-pmts-general-non-custodial",1
25,"My case ","waiting-pmts-general-receive-payments",1
25,"My case ","waiting-support-revise-issue",1
25,"My case ","waiting-support-submit-issue",1
25,"My case ","ticketinfo",1
25,"Check case","waiting-feedback-root",5
25,"Check case","waiting-restart-conversation",5
25,"Check case","waiting-support-cancel-issue",2
25,"Check case","waiting-pmtmethods-debit-card",2
25,"Check case","waiting-dirdep-confirm-form",1
25,"Check case","waiting-dirdep-learn-more",1
25,"Check case","waiting-pmts-general-non-custodial",1
25,"Check case","waiting-pmts-general-receive-payments",1
25,"Check case","waiting-support-revise-issue",1
25,"Check case","waiting-support-submit-issue",1
25,"Check case","ticketinfo",1
25,"I want to check on my case ","waiting-feedback-root",5
25,"I want to check on my case ","waiting-restart-conversation",5
25,"I want to check on my case ","waiting-support-cancel-issue",2
25,"I want to check on my case ","waiting-pmtmethods-debit-card",2
25,"I want to check on my case ","waiting-dirdep-confirm-form",1
25,"I want to check on my case ","waiting-dirdep-learn-more",1
25,"I want to check on my case ","waiting-pmts-general-non-custodial",1
25,"I want to check on my case ","waiting-pmts-general-receive-payments",1
25,"I want to check on my case ","waiting-support-revise-issue",1
25,"I want to check on my case ","waiting-support-submit-issue",1
25,"I want to check on my case ","ticketinfo",1
25,"Action on a case","waiting-feedback-root",5
25,"Action on a case","waiting-restart-conversation",5
25,"Action on a case","waiting-support-cancel-issue",2
25,"Action on a case","waiting-pmtmethods-debit-card",2
25,"Action on a case","waiting-dirdep-confirm-form",1
25,"Action on a case","waiting-dirdep-learn-more",1
25,"Action on a case","waiting-pmts-general-non-custodial",1
25,"Action on a case","waiting-pmts-general-receive-payments",1
25,"Action on a case","waiting-support-revise-issue",1
25,"Action on a case","waiting-support-submit-issue",1
25,"Action on a case","ticketinfo",1
25,"Getting information on my case","waiting-feedback-root",5
25,"Getting information on my case","waiting-restart-conversation",5
25,"Getting information on my case","waiting-support-cancel-issue",2
25,"Getting information on my case","waiting-pmtmethods-debit-card",2
25,"Getting information on my case","waiting-dirdep-confirm-form",1
25,"Getting information on my case","waiting-dirdep-learn-more",1
25,"Getting information on my case","waiting-pmts-general-non-custodial",1
25,"Getting information on my case","waiting-pmts-general-receive-payments",1
25,"Getting information on my case","waiting-support-revise-issue",1
25,"Getting information on my case","waiting-support-submit-issue",1
25,"Getting information on my case","ticketinfo",1
25,"Checking a child support case","waiting-feedback-root",5
25,"Checking a child support case","waiting-restart-conversation",5
25,"Checking a child support case","waiting-support-cancel-issue",2
25,"Checking a child support case","waiting-pmtmethods-debit-card",2
25,"Checking a child support case","waiting-dirdep-confirm-form",1
25,"Checking a child support case","waiting-dirdep-learn-more",1
25,"Checking a child support case","waiting-pmts-general-non-custodial",1
25,"Checking a child support case","waiting-pmts-general-receive-payments",1
25,"Checking a child support case","waiting-support-revise-issue",1
25,"Checking a child support case","waiting-support-submit-issue",1
25,"Checking a child support case","ticketinfo",1
25,"how can I find out if i owe child support","waiting-feedback-root",5
25,"how can I find out if i owe child support","waiting-restart-conversation",5
25,"how can I find out if i owe child support","waiting-support-cancel-issue",2
25,"how can I find out if i owe child support","waiting-pmtmethods-debit-card",2
25,"how can I find out if i owe child support","waiting-dirdep-confirm-form",1
25,"how can I find out if i owe child support","waiting-dirdep-learn-more",1
25,"how can I find out if i owe child support","waiting-pmts-general-non-custodial",1
25,"how can I find out if i owe child support","waiting-pmts-general-receive-payments",1
25,"how can I find out if i owe child support","waiting-support-revise-issue",1
25,"how can I find out if i owe child support","waiting-support-submit-issue",1
25,"how can I find out if i owe child support","ticketinfo",1
25,"Checking status online","waiting-feedback-root",5
25,"Checking status online","waiting-restart-conversation",5
25,"Checking status online","waiting-support-cancel-issue",2
25,"Checking status online","waiting-pmtmethods-debit-card",2
25,"Checking status online","waiting-dirdep-confirm-form",1
25,"Checking status online","waiting-dirdep-learn-more",1
25,"Checking status online","waiting-pmts-general-non-custodial",1
25,"Checking status online","waiting-pmts-general-receive-payments",1
25,"Checking status online","waiting-support-revise-issue",1
25,"Checking status online","waiting-support-submit-issue",1
25,"Checking status online","ticketinfo",1
25,"How to I check the status of my case","waiting-feedback-root",5
25,"How to I check the status of my case","waiting-restart-conversation",5
25,"How to I check the status of my case","waiting-support-cancel-issue",2
25,"How to I check the status of my case","waiting-pmtmethods-debit-card",2
25,"How to I check the status of my case","waiting-dirdep-confirm-form",1
25,"How to I check the status of my case","waiting-dirdep-learn-more",1
25,"How to I check the status of my case","waiting-pmts-general-non-custodial",1
25,"How to I check the status of my case","waiting-pmts-general-receive-payments",1
25,"How to I check the status of my case","waiting-support-revise-issue",1
25,"How to I check the status of my case","waiting-support-submit-issue",1
25,"How to I check the status of my case","ticketinfo",1
25,"How can I check my child support case","waiting-feedback-root",5
25,"How can I check my child support case","waiting-restart-conversation",5
25,"How can I check my child support case","waiting-support-cancel-issue",2
25,"How can I check my child support case","waiting-pmtmethods-debit-card",2
25,"How can I check my child support case","waiting-dirdep-confirm-form",1
25,"How can I check my child support case","waiting-dirdep-learn-more",1
25,"How can I check my child support case","waiting-pmts-general-non-custodial",1
25,"How can I check my child support case","waiting-pmts-general-receive-payments",1
25,"How can I check my child support case","waiting-support-revise-issue",1
25,"How can I check my child support case","waiting-support-submit-issue",1
25,"How can I check my child support case","ticketinfo",1
25,"how can i check the status of my case","waiting-feedback-root",5
25,"how can i check the status of my case","waiting-restart-conversation",5
25,"how can i check the status of my case","waiting-support-cancel-issue",2
25,"how can i check the status of my case","waiting-pmtmethods-debit-card",2
25,"how can i check the status of my case","waiting-dirdep-confirm-form",1
25,"how can i check the status of my case","waiting-dirdep-learn-more",1
25,"how can i check the status of my case","waiting-pmts-general-non-custodial",1
25,"how can i check the status of my case","waiting-pmts-general-receive-payments",1
25,"how can i check the status of my case","waiting-support-revise-issue",1
25,"how can i check the status of my case","waiting-support-submit-issue",1
25,"how can i check the status of my case","ticketinfo",1
25,"Check a case","waiting-feedback-root",5
25,"Check a case","waiting-restart-conversation",5
25,"Check a case","waiting-support-cancel-issue",2
25,"Check a case","waiting-pmtmethods-debit-card",2
25,"Check a case","waiting-dirdep-confirm-form",1
25,"Check a case","waiting-dirdep-learn-more",1
25,"Check a case","waiting-pmts-general-non-custodial",1
25,"Check a case","waiting-pmts-general-receive-payments",1
25,"Check a case","waiting-support-revise-issue",1
25,"Check a case","waiting-support-submit-issue",1
25,"Check a case","ticketinfo",1
25,"I want to check my case ","waiting-feedback-root",5
25,"I want to check my case ","waiting-restart-conversation",5
25,"I want to check my case ","waiting-support-cancel-issue",2
