"occurences","queries","contexts.name","contexts.count"
14,"Check","waiting-restart-conversation",4
14,"Check","waiting-feedback-root",3
14,"Check","waiting-support-employer",1
14,"Check","waiting-support-parent-paying",1
14,"Check","waiting-support-parent-receiving",1
14,"Check","waiting-support-type",1
14,"Check","waiting-support-employment-status",1
14,"Check","waiting-support-general-inquiries",1
14,"Check","request-type",1
14,"making an online child support payment","waiting-restart-conversation",4
14,"making an online child support payment","waiting-feedback-root",3
14,"making an online child support payment","waiting-support-employer",1
14,"making an online child support payment","waiting-support-parent-paying",1
14,"making an online child support payment","waiting-support-parent-receiving",1
14,"making an online child support payment","waiting-support-type",1
14,"making an online child support payment","waiting-support-employment-status",1
14,"making an online child support payment","waiting-support-general-inquiries",1
14,"making an online child support payment","request-type",1
14,"Can I pay payments with a debit card?","waiting-restart-conversation",4
14,"Can I pay payments with a debit card?","waiting-feedback-root",3
14,"Can I pay payments with a debit card?","waiting-support-employer",1
14,"Can I pay payments with a debit card?","waiting-support-parent-paying",1
14,"Can I pay payments with a debit card?","waiting-support-parent-receiving",1
14,"Can I pay payments with a debit card?","waiting-support-type",1
14,"Can I pay payments with a debit card?","waiting-support-employment-status",1
14,"Can I pay payments with a debit card?","waiting-support-general-inquiries",1
14,"Can I pay payments with a debit card?","request-type",1
14,"I need to pay payments online ","waiting-restart-conversation",4
14,"I need to pay payments online ","waiting-feedback-root",3
14,"I need to pay payments online ","waiting-support-employer",1
14,"I need to pay payments online ","waiting-support-parent-paying",1
14,"I need to pay payments online ","waiting-support-parent-receiving",1
14,"I need to pay payments online ","waiting-support-type",1
14,"I need to pay payments online ","waiting-support-employment-status",1
14,"I need to pay payments online ","waiting-support-general-inquiries",1
14,"I need to pay payments online ","request-type",1
14,"Can i make child support payment online by debit card?","waiting-restart-conversation",4
14,"Can i make child support payment online by debit card?","waiting-feedback-root",3
14,"Can i make child support payment online by debit card?","waiting-support-employer",1
14,"Can i make child support payment online by debit card?","waiting-support-parent-paying",1
14,"Can i make child support payment online by debit card?","waiting-support-parent-receiving",1
14,"Can i make child support payment online by debit card?","waiting-support-type",1
14,"Can i make child support payment online by debit card?","waiting-support-employment-status",1
14,"Can i make child support payment online by debit card?","waiting-support-general-inquiries",1
14,"Can i make child support payment online by debit card?","request-type",1
14,"paynearme","waiting-restart-conversation",4
14,"paynearme","waiting-feedback-root",3
14,"paynearme","waiting-support-employer",1
