"occurences","queries","contexts.name","contexts.count"
22,"I don't know the differnces","waiting-restart-conversation",5
22,"I don't know the differnces","waiting-feedback-root",4
22,"I don't know the differnces","waiting-pmtmethods-debit-card",3
22,"I don't know the differnces","waiting-support-parent-receiving",1
22,"I don't know the differnces","waiting-open-csc-location-services",1
22,"I don't know the differnces","waiting-open-csc-no-service",1
22,"I don't know the differnces","waiting-open-csc-full-services",1
22,"I don't know the differnces","waiting-support-employer",1
22,"I don't know the differnces","waiting-support-parent-paying",1
22,"I don't know the differnces","waiting-open-csc-select-form",1
22,"I don't know the differnces","waiting-dirdep-change",1
22,"I don't know the differnces","waiting-dirdep-start",1
22,"I don't know the differnces","waiting-dirdep-stop",1
22,"I don't know the differnces","waiting-eppi-faq",1
22,"I don't know the differnces","waiting-eppi-notifications",1
22,"I don't know the differnces","waiting-eppi-fees",1
22,"I don't know the differnces","waiting-eppi-activate",1
22,"I don't know the differnces","waiting-eppi-replace-report",1
22,"I don't know the differnces","waiting-eppi-get-card",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-restart-conversation",5
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-feedback-root",4
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-pmtmethods-debit-card",3
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-support-parent-receiving",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-open-csc-location-services",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-open-csc-no-service",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-open-csc-full-services",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-support-employer",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-support-parent-paying",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-open-csc-select-form",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-dirdep-change",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-dirdep-start",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-dirdep-stop",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-eppi-faq",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-eppi-notifications",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-eppi-fees",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-eppi-activate",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-eppi-replace-report",1
22,"I want to know why I haven't received any child support for the last 2 and a half weeks ","waiting-eppi-get-card",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-restart-conversation",5
22,"Is there any reason I havent gotten my payments in two months?","waiting-feedback-root",4
22,"Is there any reason I havent gotten my payments in two months?","waiting-pmtmethods-debit-card",3
22,"Is there any reason I havent gotten my payments in two months?","waiting-support-parent-receiving",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-open-csc-location-services",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-open-csc-no-service",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-open-csc-full-services",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-support-employer",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-support-parent-paying",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-open-csc-select-form",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-dirdep-change",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-dirdep-start",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-dirdep-stop",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-eppi-faq",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-eppi-notifications",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-eppi-fees",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-eppi-activate",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-eppi-replace-report",1
22,"Is there any reason I havent gotten my payments in two months?","waiting-eppi-get-card",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-restart-conversation",5
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-feedback-root",4
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-pmtmethods-debit-card",3
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-support-parent-receiving",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-open-csc-location-services",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-open-csc-no-service",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-open-csc-full-services",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-support-employer",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-support-parent-paying",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-open-csc-select-form",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-dirdep-change",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-dirdep-start",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-dirdep-stop",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-eppi-faq",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-eppi-notifications",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-eppi-fees",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-eppi-activate",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-eppi-replace-report",1
22,"My child's father is not paying his child support and i was told he is fixing to get a large check from a car accident any way that can pay his child support up ","waiting-eppi-get-card",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-restart-conversation",5
22,"Why am I not receiving my child support this month but I did last month ","waiting-feedback-root",4
22,"Why am I not receiving my child support this month but I did last month ","waiting-pmtmethods-debit-card",3
22,"Why am I not receiving my child support this month but I did last month ","waiting-support-parent-receiving",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-open-csc-location-services",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-open-csc-no-service",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-open-csc-full-services",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-support-employer",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-support-parent-paying",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-open-csc-select-form",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-dirdep-change",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-dirdep-start",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-dirdep-stop",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-eppi-faq",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-eppi-notifications",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-eppi-fees",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-eppi-activate",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-eppi-replace-report",1
22,"Why am I not receiving my child support this month but I did last month ","waiting-eppi-get-card",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-restart-conversation",5
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-feedback-root",4
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-pmtmethods-debit-card",3
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-support-parent-receiving",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-open-csc-location-services",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-open-csc-no-service",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-open-csc-full-services",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-support-employer",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-support-parent-paying",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-open-csc-select-form",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-dirdep-change",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-dirdep-start",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-dirdep-stop",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-eppi-faq",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-eppi-notifications",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-eppi-fees",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-eppi-activate",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-eppi-replace-report",1
22,"What if the child mother keep saying she not receive child support how do I find out if it’s true or not they take it out my check","waiting-eppi-get-card",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-restart-conversation",5
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-feedback-root",4
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-pmtmethods-debit-card",3
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-support-parent-receiving",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-open-csc-location-services",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-open-csc-no-service",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-open-csc-full-services",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-support-employer",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-support-parent-paying",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-open-csc-select-form",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-dirdep-change",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-dirdep-start",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-dirdep-stop",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-eppi-faq",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-eppi-notifications",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-eppi-fees",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-eppi-activate",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-eppi-replace-report",1
22,"Hi my name is PERSON_NAME.. I haven’t received my support check for this month always get it on the 12th each month.. how can I find out the problem..","waiting-eppi-get-card",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-restart-conversation",5
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-feedback-root",4
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-pmtmethods-debit-card",3
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-support-parent-receiving",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-open-csc-location-services",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-open-csc-no-service",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-open-csc-full-services",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-support-employer",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-support-parent-paying",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-open-csc-select-form",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-dirdep-change",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-dirdep-start",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-dirdep-stop",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-eppi-faq",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-eppi-notifications",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-eppi-fees",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-eppi-activate",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-eppi-replace-report",1
22,"I have not received child support in two months and I can't reach anyone who can help me with this. I have information to help assist my child support case","waiting-eppi-get-card",1
22,"Did not receive last month ","waiting-restart-conversation",5
22,"Did not receive last month ","waiting-feedback-root",4
22,"Did not receive last month ","waiting-pmtmethods-debit-card",3
22,"Did not receive last month ","waiting-support-parent-receiving",1
22,"Did not receive last month ","waiting-open-csc-location-services",1
22,"Did not receive last month ","waiting-open-csc-no-service",1
22,"Did not receive last month ","waiting-open-csc-full-services",1
22,"Did not receive last month ","waiting-support-employer",1
22,"Did not receive last month ","waiting-support-parent-paying",1
22,"Did not receive last month ","waiting-open-csc-select-form",1
22,"Did not receive last month ","waiting-dirdep-change",1
22,"Did not receive last month ","waiting-dirdep-start",1
22,"Did not receive last month ","waiting-dirdep-stop",1
22,"Did not receive last month ","waiting-eppi-faq",1
22,"Did not receive last month ","waiting-eppi-notifications",1
22,"Did not receive last month ","waiting-eppi-fees",1
22,"Did not receive last month ","waiting-eppi-activate",1
22,"Did not receive last month ","waiting-eppi-replace-report",1
22,"Did not receive last month ","waiting-eppi-get-card",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-restart-conversation",5
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-feedback-root",4
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-pmtmethods-debit-card",3
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-support-parent-receiving",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-open-csc-location-services",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-open-csc-no-service",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-open-csc-full-services",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-support-employer",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-support-parent-paying",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-open-csc-select-form",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-dirdep-change",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-dirdep-start",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-dirdep-stop",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-eppi-faq",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-eppi-notifications",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-eppi-fees",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-eppi-activate",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-eppi-replace-report",1
22,"I've always had my child, since the moment she was born till now.   It's been 6 years and nomatter what I'm still getting sued for child support.  Why?","waiting-eppi-get-card",1
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-restart-conversation",5
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-feedback-root",4
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-pmtmethods-debit-card",3
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-support-parent-receiving",1
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-open-csc-location-services",1
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-open-csc-no-service",1
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-open-csc-full-services",1
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-support-employer",1
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-support-parent-paying",1
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-open-csc-select-form",1
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-dirdep-change",1
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-dirdep-start",1
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-dirdep-stop",1
22,"She’s been told not to do it we did it was Social Services that came out to the house and said that The house that the lady is in is not fit for","waiting-eppi-faq",1
