"occurences","queries","contexts.name","contexts.count"
12,"three year review","waiting-feedback-root",6
12,"three year review","waiting-restart-conversation",6
12,"three year review","ticketinfo",3
12,"three year review","waiting-pmtmethods-debit-card",2
12,"three year review","waiting-caseqa-general-support-request",1
12,"Amendment ","waiting-feedback-root",6
12,"Amendment ","waiting-restart-conversation",6
12,"Amendment ","ticketinfo",3
12,"Amendment ","waiting-pmtmethods-debit-card",2
12,"Amendment ","waiting-caseqa-general-support-request",1
12,"review case","waiting-feedback-root",6
12,"review case","waiting-restart-conversation",6
12,"review case","ticketinfo",3
12,"review case","waiting-pmtmethods-debit-card",2
12,"review case","waiting-caseqa-general-support-request",1
12,"review order","waiting-feedback-root",6
12,"review order","waiting-restart-conversation",6
12,"review order","ticketinfo",3
12,"review order","waiting-pmtmethods-debit-card",2
12,"review order","waiting-caseqa-general-support-request",1
12,"order review and modification","waiting-feedback-root",6
12,"order review and modification","waiting-restart-conversation",6
12,"order review and modification","ticketinfo",3
12,"order review and modification","waiting-pmtmethods-debit-card",2
12,"order review and modification","waiting-caseqa-general-support-request",1
12,"review of order","waiting-feedback-root",6
12,"review of order","waiting-restart-conversation",6
12,"review of order","ticketinfo",3
12,"review of order","waiting-pmtmethods-debit-card",2
12,"review of order","waiting-caseqa-general-support-request",1
12,"how should i submit a request for modification","waiting-feedback-root",6
12,"how should i submit a request for modification","waiting-restart-conversation",6
12,"how should i submit a request for modification","ticketinfo",3
12,"how should i submit a request for modification","waiting-pmtmethods-debit-card",2
12,"how should i submit a request for modification","waiting-caseqa-general-support-request",1
12,"WhT is a modification ","waiting-feedback-root",6
12,"WhT is a modification ","waiting-restart-conversation",6
12,"WhT is a modification ","ticketinfo",3
12,"WhT is a modification ","waiting-pmtmethods-debit-card",2
12,"WhT is a modification ","waiting-caseqa-general-support-request",1
12,"Can a person have their child support reviewed?","waiting-feedback-root",6
12,"Can a person have their child support reviewed?","waiting-restart-conversation",6
12,"Can a person have their child support reviewed?","ticketinfo",3
12,"Can a person have their child support reviewed?","waiting-pmtmethods-debit-card",2
12,"Can a person have their child support reviewed?","waiting-caseqa-general-support-request",1
12,"If the father of my child helps me with everything he pay the bills provide for me n the baby can I ask judge or caseworker can they only take 40 or 50 dollars out check ","waiting-feedback-root",6
12,"If the father of my child helps me with everything he pay the bills provide for me n the baby can I ask judge or caseworker can they only take 40 or 50 dollars out check ","waiting-restart-conversation",6
12,"If the father of my child helps me with everything he pay the bills provide for me n the baby can I ask judge or caseworker can they only take 40 or 50 dollars out check ","ticketinfo",3
12,"If the father of my child helps me with everything he pay the bills provide for me n the baby can I ask judge or caseworker can they only take 40 or 50 dollars out check ","waiting-pmtmethods-debit-card",2
12,"If the father of my child helps me with everything he pay the bills provide for me n the baby can I ask judge or caseworker can they only take 40 or 50 dollars out check ","waiting-caseqa-general-support-request",1
12,"Modification","waiting-feedback-root",6
12,"Modification","waiting-restart-conversation",6
12,"Modification","ticketinfo",3
12,"Modification","waiting-pmtmethods-debit-card",2
12,"Modification","waiting-caseqa-general-support-request",1
12,"Need help with modification forms ","waiting-feedback-root",6
12,"Need help with modification forms ","waiting-restart-conversation",6
12,"Need help with modification forms ","ticketinfo",3
12,"Need help with modification forms ","waiting-pmtmethods-debit-card",2
12,"Need help with modification forms ","waiting-caseqa-general-support-request",1
