"occurences","queries","contexts.name","contexts.count"
5,"My kids father moved out of town and dont help me at all","waiting-support-type",1
5,"My kids father moved out of town and dont help me at all","waiting-appts-not-contacted",1
5,"I want to review my case information and I am being told by the father that I have to be in court in Mississippi.","waiting-support-type",1
5,"I want to review my case information and I am being told by the father that I have to be in court in Mississippi.","waiting-appts-not-contacted",1
5,"I am a Housing provider and need the email address to verify benifits for a Resident at my property","waiting-support-type",1
5,"I am a Housing provider and need the email address to verify benifits for a Resident at my property","waiting-appts-not-contacted",1
5,"General request ","waiting-support-type",1
5,"General request ","waiting-appts-not-contacted",1
5,"Child support is coming out of my civilian employers check. Why is MDHS trying to also take it out of my national guard check?","waiting-support-type",1
5,"Child support is coming out of my civilian employers check. Why is MDHS trying to also take it out of my national guard check?","waiting-appts-not-contacted",1
