"occurences","queries","contexts.name","contexts.count"
27,"Check balance ","waiting-pmts-general-non-custodial",2
27,"Check balance ","waiting-pmtmethods-debit-card",2
27,"Check balance ","waiting-support-type",2
27,"Check balance ","request-type",2
27,"Check balance ","waiting-restart-conversation",2
27,"Check balance ","waiting-pmts-general-receive-payments",2
27,"Check balance ","waiting-support-parent-paying-more",1
27,"Check balance ","waiting-feedback-root",1
27,"Check balance ","waiting-eppi-replace-report",1
27,"Check balance ","waiting-support-employer",1
27,"Check balance ","waiting-support-employment-status",1
27,"Check balance ","waiting-support-parent-receiving",1
27,"Check balance ","waiting-feedback-helpful",1
27,"Check balance ","waiting-feedback-not-helpful",1
27,"Check balance ","waiting-support-general-inquiries",1
27,"Check balance ","waiting-eppi-faq",1
27,"Check balance ","waiting-eppi-fees",1
27,"Check balance ","waiting-eppi-notifications",1
27,"Check balance ","waiting-eppi-activate",1
27,"Check balance ","waiting-eppi-get-card",1
27,"Check balance ","waiting-support-parent-paying",1
27,"How can I check my balance on this site? It does not show this","waiting-pmts-general-non-custodial",2
27,"How can I check my balance on this site? It does not show this","waiting-pmtmethods-debit-card",2
27,"How can I check my balance on this site? It does not show this","waiting-support-type",2
27,"How can I check my balance on this site? It does not show this","request-type",2
27,"How can I check my balance on this site? It does not show this","waiting-restart-conversation",2
27,"How can I check my balance on this site? It does not show this","waiting-pmts-general-receive-payments",2
27,"How can I check my balance on this site? It does not show this","waiting-support-parent-paying-more",1
27,"How can I check my balance on this site? It does not show this","waiting-feedback-root",1
27,"How can I check my balance on this site? It does not show this","waiting-eppi-replace-report",1
27,"How can I check my balance on this site? It does not show this","waiting-support-employer",1
27,"How can I check my balance on this site? It does not show this","waiting-support-employment-status",1
27,"How can I check my balance on this site? It does not show this","waiting-support-parent-receiving",1
27,"How can I check my balance on this site? It does not show this","waiting-feedback-helpful",1
27,"How can I check my balance on this site? It does not show this","waiting-feedback-not-helpful",1
27,"How can I check my balance on this site? It does not show this","waiting-support-general-inquiries",1
27,"How can I check my balance on this site? It does not show this","waiting-eppi-faq",1
