What wrong with the system, outage
Back child support balance, arrears
Website, website help
I am trying to figure out who is the father of metss no. 617420627A, paternity
Need to submit my address, address change
Can you give me the adress so i can come in, office locations
Trying to get my case open..., open case
How to find out my balance on child support, account balance
Who to make check payable to, checks
Check my account, account balance
food stamps, food stamps
I am looking for a gulfport fs officee, office locations
I’m trying to figure out why my deposits have yet to be put onto my card this month. I usually receive my payment twice a month and it’s always been before this time of month. There have been 2 pay periods go by and no payment to my card yet, not received payments
thank you, thanks
thank you, thanks
How long does it take to get a card in the mIl, card
can i have the link to do it online, website assistance
Using bank card, eppicard
I dont have my account number, account number
Yesterday at my SNAP appointment my caseworker informed me that i was code "DC" for noncompliance. I have no idea what i did ( or didn't do) and need help resolving this very urgent matter, noncompliance
I'll call the one eight hundred number and it says that I have got 98 dollars deposited in my account but every time I called the line it says that I don't have nothing in my account so I'm trying to see what is really going on, account balance
Who would I speak to to request visitations, visitations
I have a current child support case but I have not received my payment this month. How can I check on that?, check on payments
Lost Mississippi epicard, lost card
What happened if you are 3 months behind on child support, noncompliance
How far behind do you get in trouble, noncompliance
I need to know the amount that was collected on my child support account, account balance
Fuck you, profanity
Fucj, profanity
How can I find out when my money is on my card, account balance
My card is old can I get another one, eppicard
Check balance online, account balance
Verification Letter, verification
I need a child support waiver form, forms
Modification, modification
How do I find out how much money I owe in child support?, account balance
I’m trying to check the arrearage on my account, arrears
yes I did not receive my child support for August and would like to have this investigated., not received payment
Who is responsible for copays?, copays
Great.
Why is child support taking medical and child support payment out my check, medical
How much is 3 kids, estimate payments
Back child support, arrears
If you already receiving child support and you're going to start receiving child support for your child how will you get the payments? On the same card or different?, payments
How much is owed on my back child support?, arrears
Yes. What determines who is the custodial parent?, definition
percentage of income, estimate payments
I already have a active case. I just need some type of documentation that states how much I receive and how often., documentation
How to get case number, case number
Can I make child support payments for someone who is in Desoto county ms jail for failure to pay child supports may I send in payments, incarceration
Contempt court?, contempt court
What is the definition of contempt court?, contempt court
What if employer is not taking out check, employer 
Paternity, parternity
That's it, completed conversation
I'm the mother and wanting to know when will we receive Sept. Child support, not received payment
Can the Mississippi department of human service take your kid without a court order, remove child
What is the website to check my card balance, account balance
Check balance, account balance
I would like to know can a guardian visit friends and other family if they are to be supervised, visitation
Disbursement unit letters, documentation
What is CSE?, definition
I need a job, employment opportunities
Thank you, gratitude
How long does it take to receive the child support after it is being paid?, timelines
No but thank you🙂, gratitude
Yes it's been years zinc my last it came in February I was just wondering is my card so good cuz I haven't heard that is all this money we're owed to try to help take care of her and I thought getting it just my car now or do I need a new card, new card
Go back, go back
killing me, profanity
forgot log in ingormation, login information
I cannot remember the address connected to my card. i can verify previous addresses but i cannot remember what i changed it to and can’t use it for what i need it for without it., card
I haven't received child support, not received payment
I am a child on the case but I am 21 won’t nobody talk to me why, talk to human
I need to speak with manager, escalation
How to apply for custody and establish visitation guidelines, visitation
Can you show me any recent activity on my account?, recent activity
Why cant I see my full amount all I see is only one deposit I cant see the savings account for tanf, account balance
My bank plan was discontinued as of September 30 DIGITS. I was told to contact MDHS for areages from my ex-husband, arrears
My ex is regularly deducting old credit card payments in my name that also had his name from my child support. Is this legal?, legal
He owes back child support. He’s a year behind, arrears
Speak to someone, request for human
How is the amount calculated, calculations
I need to talk to someone due to child support, request for human
I need to speak with someone about that, request for human
Can I upload documents, upload documents
I'm trying to see what my balance is for my child support it suppose to be over with this month, account balance
I wanna know if the child still in college as they reach 21 of age can they still receive child support, emancipation
No one will answer this number, request for human
Child support is coming out of my civilian employers check. Why is MDHS trying to also take it out of my national guard check?, deductions
What is a Mississippi child support verification form, verification form
i dont owe any child support but you all took my tax refund, taxes
visitation rights, visitation
Yes. Very., gratitude
i need to make changes on my child care certificate, child care certificate
How much does someone making $49000 a year pay in child support?, estimate payments
I have not received my child support for the month of Aug. and I need to know why?, not received payment
What name do I put on money order? Sdu?, money order
How can I find out my case id, case id
It’s been a year since I opened my case, update case
where can I email the Request for information?, request for information
Check child support balance, account balance
Email address for change of residence, email request 
address change, address change
Need a replacement card, replacement card
I’m trying to figure out why my child support deposit didn’t go on my card today like it does every week, not received payment
a Mississippi Verification for Child Support Services form, verification form
can we pay online each week?, making payments
Need help with modification forms, modifcation
thank you, gratitude
Where is the new location for child support collections?, office location
Confirming DHS location in Tunica County at the address of STREET_ADDRESS Clarksdale MS ZIPCODE, office location
Login, login
Re activate my account, activate account
thank you, gratitude
that is all, completed conversation
Need my snap benefit printout, SNAP
Start new child support order, Open Case
When will I receive my eppicard, receive eppicard 
I want to find out what’s going on with my case, case update
Get a number, contact human
Want to make an appointment for my husband PERSON_NAME Holland Marich an appointment to speak with a case worker. He wants to sign his rights away to PERSON_NAME., make appointment
Form to pay, make payment
I need to change my name, name change
I just need to know what time in the morning does credits usually become available, payment information
How do I know if I’m approved for food stamps, SNAP
I want to know if I was approved for food stamps, SNAP
Daycare, daycare
Custodial parent dies, death
What happens if my son is grown and his mother dies, death
Where do I get a Mississippi verification for child support form?, verification form
93 CR 832 Vossburg Ms ZIPCODE, address
TANF, TANF
Child support card has expired and i need to get a new one, new card
How do you make child support payments online, make payments
How long does it take for the custodial parent to receive payment, payment timelines
Lol ok thanks, gratitude
My child’s father paid last week and I still haven’t received my pay, not received payment
When should I expect my child support to be direct deposited into my checking account?, payment timelines
Why am I not receiving child support even though it is being withdrawn from other parents checks, not received payment
case #, case number
Two. How many years do they draw?, arrears
How do I get a card?, new card
thank you, gratitude
I lost my child support card, new card
How long does it take to receive a child support payment, payment timelines
I will be receiving child support. The non custodial parent is ordered to pay by the 10th of September and I want to know how long it will take for me to receive that payment, payment timelines
When will i receive my back child support from my ex husband income tax, payment timelines
Fuck you, profanity
This dick in yo mouth, profanity
Paternity test, paternity test
Holiday, holiday
Goodbye, end of conversation
Will we receive our deposit on holidays like today, holiday
Check status, check status
Learn about Eppicard, eppicard
How could I get eppicard, eppicard
I had lost my card and called for a replacement weeks ago and I have not received the new card., card replacement
refund, refund
It's a holiday Tomrrow will I get my childsupport, holiday
I have two childsupport pay ing pedi g one came on the 29 and one came on the 30 PERSON_NAME is a holiday will I get it, payment timelines
I need an email address, contact human
I don’t work at the moment, unemployed
contempt, contempt
Low income housing in Lee county me, housing
will they answer?, contact human
they never anser, contact human
Checking my balance, account balance
I can’t log into my account. There is a charge in my card that takes place every month that I don’t know anything about., login
How long does it take to receive child support after noncustodial parent starts paying, payment timelines
How to I start the process, open case
login, login
invoice, invoice
how do you get invoices for remittance?, invoice
My kids father switched jobs. How do i report his current job now, update information
Bye, end of conversation
translator, translator
What format does email need to be in on forms, form help
When will i receive my child support card?, timelines
I need to update place of employment, update information
dont worry about it i'll call when i get off, contact human
can you adjust the amount to send?, adjust payments
Can you please have someone from the Kosciusko Attala County Child Support to call me concerning one of my employees Child Support payments. Thank you. PERSON_NAME J. C. Cheek Contractors Inc. PHONE_NUMBER, employer
need to check my balance on my card, account balance
When you find out let me know so I can send check., talk to human
Who name do I put on check for child support?, address check
Who’s name do I put on check for child support?, address check
Yes whats the debit card, eppicard
If the 1st of the month is a Sunday when will I receive my child support payment, payment timelines
Where do I send my contempt of court packet, postal address 
Initial interview process what's that going to be base on?, interview
Tanf benfits, TANF
contempt of childsupport, contempt
Child support coming out of bank account and out of pay check, payment status
how to check back child support, arrears
Can I speak with someone, talk to human
gardianship, guardianship
I would like to put myself on child support payments and schedule a visitation schedule with my child, visitation
Is the recipient of child support taxed, taxes
I need a fax number to fax information to regarding the info requested to receive another card, fax number
can i get my final balance, account balance
how to make payments, make payments
I need to do this as soon as possible, urgency
No I do not give permission for dcse to take my payments and deposit direct, deny consent
Determining income, payment calculation
The father is self employed. How would you determine his income?, income calculation
Yes! This service saves me so much time!, gratitude
award letter, award letter
What am i paying 25 dollars for?, fees
change name, change information
name change, change information
