I’m trying to get there, office locations
how can i get a copy of my child support orders, documentation
I live in fl. My sons father lives in Mississippi. I have a case open here and I'm just trying to see what your state is doing to help, interstate
Job information about the non custodial parent, support request
I recently started a claim for back court order child support. And was wondering how to check the status of it
calculator did not work,estimate payments
services,support requests
"If your license has been suspended due to back child support, how much needs to be paid to get your license back?"
how to apply,open case
Case!?,case status
when can i stop paying child support,emancipation
why have i not received my payment,not received payment
who is my caseworker,account information
Verification that I don’t have an open case,verification
My daughter is 14 can I still get support for her,emancipation
The court just gave primary custody of my daughter to me. Who do I send the court notice to cancel my child support?,terminate
I would like to find out if my ex-husbands newest paycheck information from East PERSON_NAME University has been received.
How do I get my child support caught up,enforcement
Why is child support being held out if my check I send a bank check by mail every month,not received payment
can grandparents get child support,open case
can anyone get child support,open case
How to request an increase?,support request
forms,documentation
Can you provide blank copies of forms?,documentation
WHERE CAN I GET MY COURT ORDER FROM CHILD SUPPORT FROM DIGITS, documentation
i need to get wwo
what is customer service,contact human
how do i get child support,open case
"i live in vicksburg,ms",office locations
Phone number,phone number
What is the legal age that a non custodial parent pay child support in MS,emancipation
I am the custodial parent but the father resides in Mississippi and is behind on payments. What can I do?,enforcement
What's the process to get a child support review,support request
I receive child support
Can I make my child support payments online,make payments
Do I have to go to court?,legal
Do I or the non custodial parent have to attend court?,legal
Getting income tax,taxes
I have asked for the past three years about getting his income tax.,taxes
Is on file and every time I call them no one helps me no one,contact human
"I have a 7,000 dollar balance on my case my last payment was made on April 18th he has been working and MDHS just stopped taking it out of his checks he has called and even asked them to take it I am supposed to receive 700$ monthly by court order which",not received payment
How can I see my case?,account information
how do i get verification of child support,verification
I need to know how to stop the reaccuring payments.  I have had an employee quit and it is going to continue to take out for him.
WHAT IS YOUR FAX,fax
FAX NUMBER,fax
PHONE_NUMBER IS THIS YOUR FAX FOR EMPLOYERS,fax
Yes,
what is the rate,
Can my child gets it support directly paid to them,make payment
parental right
family violence
Can you send me the PERSON_NAME address,office locationss
How can MDHS collect on a withholding order and from my bankruptcy?
Can my child still receive assistance after she turns 21?,emancipation
"Ok, thank you",gratitude
"I already have it set for direct deposit, I haven't received payment in 4 months",not received payment
i have a question i am getting paid less than what i used to get paid do i have to take my other party to court or can i just send copy of my paychecks and you can take care of the resertification,support request
Child support card replacement,card
I was told I could not get a SNAP because child support stated that I have not cooperated with them so I need an appointment to determine what's wrong,snap
I have a case,case status
Contempt order
I HAVE THE APPLIACTION BUT I RECIEVE EBT SO HOW DO I GO ABOUT THAT
How can I get a list of payments made?,support request
I'm working out of town in PERSON_NAME and am buying a place in Tennessee. So could it be sent here instead? Please and thank you.,interstate
Do I have to bring the original copy of my son’s birth certificate. Or can it just be a copy?
I need a ms verification of child support enforcement form,verification
"email for disbursement unit in PERSON_NAME, MS?",email
Fax # please,fax
nonpayment of court ordered child support,not received payment
PERSON_NAME POPE
Can you please call me,contact human
I am not the non custodial parent
i got to go up there but I went last week and they told me system was shut down for me to find out if it’s uo and running so I can go up there...
contempt packet
please add more faqs
yes im trying to see the number for tunica county child support office since its been move,phone number
paymetns
Thanks for help!,gratitude
Can you email it to me,email
Are money gram payments processed in same day,make payments
nobody answers that number,complaints
where do I send completed documents?,online action
I have a charge of $120 on my credit score and all 3 of my sons are over 18 the youngest one is 23  how do I owe you this,fee
what is the address,office locations
Do you know who this family contacts for assistance temporarily
What time do payments be post to card,card
Contempt order
"Canton,MS",office locations
I am aware and know personally a.couple and 2 small children who are homeless.the ha e been going frim place to place to get shelter.they have no ID's getting money from begging to stay . Sunset inn.they are there now..no money have to get out.kids 3 & 5
I'm the constodial parent
I'm at the child support officr in Indiana and they need to speak with a customer service rep,contact human
I have a question about my case but don't know how to directly get in contact with my case worker,account information
Questions about a case that has been sitting for 3 yrs now,case status
How long funds on card,card
I dont get to see my son what should I do,visitation
Hi glen I want to know why am I still receiving partial payments a month,not received payment
Yes! Who do I talk to about getting the non custodial parent arrested?,incarceration
❓
I'm not sure trying to put my son father on child support. He's not helping me take care of him.,open case
Can child support order paternity test for a unwedded mother,paternity
I was wondering why haven't i heard anything back from when i applied last year
Can child support be paid be debit card/ credit card?,card
How can I speak to a respresentive,contact human
Trying to see how can I get a print out of my child support payments,documentation
Is there anything pending to my account,account information
I received a letter with a case #. I need to know who to speak to via voice? Do you have a phone number,phone number
Child support form 941 and 943/643 can be located where?,documentation
The father is working but getting paid under the table.  What should  be done?
My child support is coming out of my paycheck and I have a payment plan for arrears can I get a passport,arrears
Proof of payment,verification
I am trying to find out how can I access proof of child support payment received,verification
If the employer is taking withholding wages from the noncustodial parent check but not sending the child support payments in to the state what action can the legal guardian take against the employer
"I think I need you to e-mail me an application for opening a child support case.  I was divorced in Florida, but now live in MS and my ex-husband lives in South PERSON_NAME.  He has been paying child support to the Florida Disbursement Unit but quit."
Is there not a site i can access child support info,account information
at this time i'm looking at whats available to me
What's the DIGITS number to child support,phone number
I neeed a copy of the most reason,documentation
Log on,online action
Western Union payment's,make payments
"I have been receiving child support, but it’s not consistent. So what can I do?",not received payment
How can I see my case online
Where my DIGITS dollars,account balance
what is the PERSON_NAME address,open case
What do u do?
What do you do when the father clearly wants to see their child and the mother won’t let him? He’s been paying daycare payments until he lost his job. He’s not on child support but has a honest desire to be in his son’s life.visitation
custodial
I have a question
How much is it to start a case,open case
change of address,support request
