"occurences","queries","contexts.name","contexts.count"
8,"Can I submit this online","waiting-feedback-root",3
8,"Can I submit this online","waiting-restart-conversation",3
8,"Can I submit this online","waiting-open-csc-location-services",1
8,"Can I submit this online","waiting-open-csc-full-services",1
8,"Can I submit this online","waiting-open-csc-employer-payments",1
8,"Can I submit this online","waiting-support-cancel-issue",1
8,"Can I fill out child support paperwork online ","waiting-feedback-root",3
8,"Can I fill out child support paperwork online ","waiting-restart-conversation",3
8,"Can I fill out child support paperwork online ","waiting-open-csc-location-services",1
8,"Can I fill out child support paperwork online ","waiting-open-csc-full-services",1
8,"Can I fill out child support paperwork online ","waiting-open-csc-employer-payments",1
8,"Can I fill out child support paperwork online ","waiting-support-cancel-issue",1
8,"online","waiting-feedback-root",3
8,"online","waiting-restart-conversation",3
8,"online","waiting-open-csc-location-services",1
8,"online","waiting-open-csc-full-services",1
8,"online","waiting-open-csc-employer-payments",1
8,"online","waiting-support-cancel-issue",1
8,"can i submit documents on the website","waiting-feedback-root",3
8,"can i submit documents on the website","waiting-restart-conversation",3
8,"can i submit documents on the website","waiting-open-csc-location-services",1
8,"can i submit documents on the website","waiting-open-csc-full-services",1
8,"can i submit documents on the website","waiting-open-csc-employer-payments",1
8,"can i submit documents on the website","waiting-support-cancel-issue",1
8,"Can I view this online","waiting-feedback-root",3
8,"Can I view this online","waiting-restart-conversation",3
8,"Can I view this online","waiting-open-csc-location-services",1
8,"Can I view this online","waiting-open-csc-full-services",1
8,"Can I view this online","waiting-open-csc-employer-payments",1
8,"Can I view this online","waiting-support-cancel-issue",1
8,"Thank you. Is there any way that I may be able to review the information online, ","waiting-feedback-root",3
8,"Thank you. Is there any way that I may be able to review the information online, ","waiting-restart-conversation",3
8,"Thank you. Is there any way that I may be able to review the information online, ","waiting-open-csc-location-services",1
8,"Thank you. Is there any way that I may be able to review the information online, ","waiting-open-csc-full-services",1
8,"Thank you. Is there any way that I may be able to review the information online, ","waiting-open-csc-employer-payments",1
8,"Thank you. Is there any way that I may be able to review the information online, ","waiting-support-cancel-issue",1
8,"Website ","waiting-feedback-root",3
8,"Website ","waiting-restart-conversation",3
8,"Website ","waiting-open-csc-location-services",1
8,"Website ","waiting-open-csc-full-services",1
8,"Website ","waiting-open-csc-employer-payments",1
8,"Website ","waiting-support-cancel-issue",1
8,"can i have the link to do it online","waiting-feedback-root",3
8,"can i have the link to do it online","waiting-restart-conversation",3
8,"can i have the link to do it online","waiting-open-csc-location-services",1
8,"can i have the link to do it online","waiting-open-csc-full-services",1
8,"can i have the link to do it online","waiting-open-csc-employer-payments",1
8,"can i have the link to do it online","waiting-support-cancel-issue",1
