"occurences","queries","contexts.name","contexts.count"
6,"It says on divorce paper he is supposed to pay but I have no idea where he is ","waiting-pmtmethods-debit-card",2
6,"It says on divorce paper he is supposed to pay but I have no idea where he is ","waiting-caseqa-general-support-request",1
6,"It says on divorce paper he is supposed to pay but I have no idea where he is ","waiting-restart-conversation",1
6,"It says on divorce paper he is supposed to pay but I have no idea where he is ","waiting-pmts-general-non-custodial",1
6,"It says on divorce paper he is supposed to pay but I have no idea where he is ","waiting-pmts-general-receive-payments",1
6,"I need a copy of my child support from Court my oldest son father hasn't made a payment on 18 years","waiting-pmtmethods-debit-card",2
6,"I need a copy of my child support from Court my oldest son father hasn't made a payment on 18 years","waiting-caseqa-general-support-request",1
6,"I need a copy of my child support from Court my oldest son father hasn't made a payment on 18 years","waiting-restart-conversation",1
6,"I need a copy of my child support from Court my oldest son father hasn't made a payment on 18 years","waiting-pmts-general-non-custodial",1
6,"I need a copy of my child support from Court my oldest son father hasn't made a payment on 18 years","waiting-pmts-general-receive-payments",1
6,"Contempt","waiting-pmtmethods-debit-card",2
6,"Contempt","waiting-caseqa-general-support-request",1
6,"Contempt","waiting-restart-conversation",1
6,"Contempt","waiting-pmts-general-non-custodial",1
6,"Contempt","waiting-pmts-general-receive-payments",1
6,"Yes, I only have the state where my kids father stay no address, I know where he works and social security number, I need help ASAP","waiting-pmtmethods-debit-card",2
6,"Yes, I only have the state where my kids father stay no address, I know where he works and social security number, I need help ASAP","waiting-caseqa-general-support-request",1
6,"Yes, I only have the state where my kids father stay no address, I know where he works and social security number, I need help ASAP","waiting-restart-conversation",1
6,"Yes, I only have the state where my kids father stay no address, I know where he works and social security number, I need help ASAP","waiting-pmts-general-non-custodial",1
6,"Yes, I only have the state where my kids father stay no address, I know where he works and social security number, I need help ASAP","waiting-pmts-general-receive-payments",1
6,"What happened if you are 3 months behind on child support ","waiting-pmtmethods-debit-card",2
6,"What happened if you are 3 months behind on child support ","waiting-caseqa-general-support-request",1
6,"What happened if you are 3 months behind on child support ","waiting-restart-conversation",1
6,"What happened if you are 3 months behind on child support ","waiting-pmts-general-non-custodial",1
6,"What happened if you are 3 months behind on child support ","waiting-pmts-general-receive-payments",1
6,"contempt","waiting-pmtmethods-debit-card",2
6,"contempt","waiting-caseqa-general-support-request",1
6,"contempt","waiting-restart-conversation",1
6,"contempt","waiting-pmts-general-non-custodial",1
6,"contempt","waiting-pmts-general-receive-payments",1
