"occurences","queries","contexts.name","contexts.count"
5,"How do can I find my case number?","waiting-feedback-root",2
5,"How do can I find my case number?","waiting-support-cancel-issue",2
5,"How do can I find my case number?","waiting-restart-conversation",1
5,"How do can I find my case number?","request-type",1
5,"How do can I find my case number?","waiting-open-csc-location-services",1
5,"How do can I find my case number?","waiting-open-csc-employer-payments",1
5,"How do can I find my case number?","waiting-open-csc-full-services",1
5,"How to contact your case manager","waiting-feedback-root",2
5,"How to contact your case manager","waiting-support-cancel-issue",2
5,"How to contact your case manager","waiting-restart-conversation",1
5,"How to contact your case manager","request-type",1
5,"How to contact your case manager","waiting-open-csc-location-services",1
5,"How to contact your case manager","waiting-open-csc-employer-payments",1
5,"How to contact your case manager","waiting-open-csc-full-services",1
5,"How to get case number","waiting-feedback-root",2
5,"How to get case number","waiting-support-cancel-issue",2
5,"How to get case number","waiting-restart-conversation",1
5,"How to get case number","request-type",1
5,"How to get case number","waiting-open-csc-location-services",1
5,"How to get case number","waiting-open-csc-employer-payments",1
5,"How to get case number","waiting-open-csc-full-services",1
5,"How can I find out my case id","waiting-feedback-root",2
5,"How can I find out my case id","waiting-support-cancel-issue",2
5,"How can I find out my case id","waiting-restart-conversation",1
5,"How can I find out my case id","request-type",1
5,"How can I find out my case id","waiting-open-csc-location-services",1
5,"How can I find out my case id","waiting-open-csc-employer-payments",1
5,"How can I find out my case id","waiting-open-csc-full-services",1
5,"case #","waiting-feedback-root",2
5,"case #","waiting-support-cancel-issue",2
5,"case #","waiting-restart-conversation",1
5,"case #","request-type",1
5,"case #","waiting-open-csc-location-services",1
5,"case #","waiting-open-csc-employer-payments",1
5,"case #","waiting-open-csc-full-services",1
