"occurences","queries","contexts.name","contexts.count"
8,"Cancel child support","ticketinfo",2
8,"Cancel child support","waiting-support-employment-status",2
8,"Cancel child support","waiting-open-csc-location-services",1
8,"Cancel child support","waiting-support-retry-phone-number",1
8,"Cancel child support","waiting-support-retry-email",1
8,"Cancel child support","waiting-support-employer",1
8,"Cancel child support","request-type",1
8,"Cancel child support","waiting-support-parent-paying",1
8,"Cancel child support","waiting-open-csc-employer-payments",1
8,"Cancel child support","waiting-open-csc-full-services",1
8,"Cancel child support","waiting-support-parent-receiving",1
8,"Cancel child support","waiting-pmtmethods-cash",1
8,"Cancel child support","waiting-support-phone-number",1
8,"Cancel child support","waiting-support-no-phone-number",1
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","ticketinfo",2
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","waiting-support-employment-status",2
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","waiting-open-csc-location-services",1
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","waiting-support-retry-phone-number",1
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","waiting-support-retry-email",1
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","waiting-support-employer",1
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","request-type",1
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","waiting-support-parent-paying",1
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","waiting-open-csc-employer-payments",1
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","waiting-open-csc-full-services",1
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","waiting-support-parent-receiving",1
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","waiting-pmtmethods-cash",1
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","waiting-support-phone-number",1
8,"I need childcare I just had a baby but the dad help me with her and I don’t want to put him on child support what do I do","waiting-support-no-phone-number",1
8,"bye","ticketinfo",2
8,"bye","waiting-support-employment-status",2
8,"bye","waiting-open-csc-location-services",1
8,"bye","waiting-support-retry-phone-number",1
8,"bye","waiting-support-retry-email",1
8,"bye","waiting-support-employer",1
8,"bye","request-type",1
8,"bye","waiting-support-parent-paying",1
8,"bye","waiting-open-csc-employer-payments",1
8,"bye","waiting-open-csc-full-services",1
8,"bye","waiting-support-parent-receiving",1
8,"bye","waiting-pmtmethods-cash",1
8,"bye","waiting-support-phone-number",1
8,"bye","waiting-support-no-phone-number",1
8,"I am a father and I want to know what can I do to be able to see my children .. the mother is giving me a hard time... I pay child support ","ticketinfo",2
8,"I am a father and I want to know what can I do to be able to see my children .. the mother is giving me a hard time... I pay child support ","waiting-support-employment-status",2
8,"I am a father and I want to know what can I do to be able to see my children .. the mother is giving me a hard time... I pay child support ","waiting-open-csc-location-services",1
8,"I am a father and I want to know what can I do to be able to see my children .. the mother is giving me a hard time... I pay child support ","waiting-support-retry-phone-number",1
8,"I am a father and I want to know what can I do to be able to see my children .. the mother is giving me a hard time... I pay child support ","waiting-support-retry-email",1
8,"I am a father and I want to know what can I do to be able to see my children .. the mother is giving me a hard time... I pay child support ","waiting-support-employer",1
8,"I am a father and I want to know what can I do to be able to see my children .. the mother is giving me a hard time... I pay child support ","request-type",1
8,"I am a father and I want to know what can I do to be able to see my children .. the mother is giving me a hard time... I pay child support ","waiting-support-parent-paying",1
8,"I am a father and I want to know what can I do to be able to see my children .. the mother is giving me a hard time... I pay child support ","waiting-open-csc-employer-payments",1
8,"I am a father and I want to know what can I do to be able to see my children .. the mother is giving me a hard time... I pay child support ","waiting-open-csc-full-services",1
