"occurences","queries","contexts.name","contexts.count"
13,"Paternity test form","waiting-feedback-root",3
13,"Paternity test form","waiting-restart-conversation",2
13,"Paternity test form","waiting-support-cancel-issue",1
13,"What are the next step when the father didn't come to his appointment to take DNA?","waiting-feedback-root",3
13,"What are the next step when the father didn't come to his appointment to take DNA?","waiting-restart-conversation",2
13,"What are the next step when the father didn't come to his appointment to take DNA?","waiting-support-cancel-issue",1
13,"trying to see if i can change my child last name in the divorce court with my dna paper","waiting-feedback-root",3
13,"trying to see if i can change my child last name in the divorce court with my dna paper","waiting-restart-conversation",2
13,"trying to see if i can change my child last name in the divorce court with my dna paper","waiting-support-cancel-issue",1
13,"Yes I have another child to put on child support ","waiting-feedback-root",3
13,"Yes I have another child to put on child support ","waiting-restart-conversation",2
13,"Yes I have another child to put on child support ","waiting-support-cancel-issue",1
13,"Paternity test ","waiting-feedback-root",3
13,"Paternity test ","waiting-restart-conversation",2
13,"Paternity test ","waiting-support-cancel-issue",1
13,"blood test ","waiting-feedback-root",3
13,"blood test ","waiting-restart-conversation",2
13,"blood test ","waiting-support-cancel-issue",1
13," Do they do paternity test ?","waiting-feedback-root",3
13," Do they do paternity test ?","waiting-restart-conversation",2
13," Do they do paternity test ?","waiting-support-cancel-issue",1
13,"paternity test","waiting-feedback-root",3
13,"paternity test","waiting-restart-conversation",2
13,"paternity test","waiting-support-cancel-issue",1
13,"Adoption","waiting-feedback-root",3
13,"Adoption","waiting-restart-conversation",2
13,"Adoption","waiting-support-cancel-issue",1
13,"I am looking for a Voluntary Acknowledgement Of Paternity Form","waiting-feedback-root",3
13,"I am looking for a Voluntary Acknowledgement Of Paternity Form","waiting-restart-conversation",2
13,"I am looking for a Voluntary Acknowledgement Of Paternity Form","waiting-support-cancel-issue",1
13,"I am trying to figure out who is the father of metss no. 617420627A","waiting-feedback-root",3
13,"I am trying to figure out who is the father of metss no. 617420627A","waiting-restart-conversation",2
13,"I am trying to figure out who is the father of metss no. 617420627A","waiting-support-cancel-issue",1
13,"Paternity","waiting-feedback-root",3
13,"Paternity","waiting-restart-conversation",2
13,"Paternity","waiting-support-cancel-issue",1
13,"Paternity test ","waiting-feedback-root",3
13,"Paternity test ","waiting-restart-conversation",2
13,"Paternity test ","waiting-support-cancel-issue",1
