"occurences","queries","contexts.name","contexts.count"
31,"How do I get a child support card","waiting-feedback-root",6
31,"How do I get a child support card","waiting-restart-conversation",6
31,"How do I get a child support card","waiting-pmtmethods-debit-card",3
31,"How do I get a child support card","waiting-support-cancel-issue",2
31,"How do I get a child support card","waiting-contact-support-handoff",1
31,"How do I get a child support card","payment-factors",1
31,"How do I get a child support card","waiting-contact-provide-phone-number",1
31,"How do I get a child support card","waiting-appts-office-locations",1
31,"How do I get a child support card","waiting-appts-guidelines",1
31,"How do I get a child support card","waiting-appts-schedule",1
31,"How do I get a child support card","waiting-eppi-faq",1
31,"How do I get a child support card","waiting-eppi-fees",1
31,"How do I get a child support card","waiting-pmtqa-ncp-payment-status-submit-request",1
31,"How do I get a child support card","waiting-eppi-activate",1
31,"How do I get a child support card","waiting-eppi-get-card",1
31,"How do I get a child support card","waiting-eppi-replace-report",1
31,"How do I get a child support card","waiting-support-employer",1
31,"How do I get a child support card","waiting-support-parent-paying",1
31,"How do I get a child support card","waiting-support-parent-receiving",1
31,"How do I get a child support card","waiting-pmts-general-non-custodial",1
31,"How do I get a child support card","waiting-pmts-general-receive-payments",1
31,"How do I get a child support card","waiting-support-type",1
31,"How do I get a child support card","waiting-support-general-inquiries",1
31,"How do I get a child support card","waiting-eppi-notifications",1
31,"I haven’t received a card ","waiting-feedback-root",6
31,"I haven’t received a card ","waiting-restart-conversation",6
31,"I haven’t received a card ","waiting-pmtmethods-debit-card",3
31,"I haven’t received a card ","waiting-support-cancel-issue",2
31,"I haven’t received a card ","waiting-contact-support-handoff",1
31,"I haven’t received a card ","payment-factors",1
31,"I haven’t received a card ","waiting-contact-provide-phone-number",1
31,"I haven’t received a card ","waiting-appts-office-locations",1
31,"I haven’t received a card ","waiting-appts-guidelines",1
31,"I haven’t received a card ","waiting-appts-schedule",1
31,"I haven’t received a card ","waiting-eppi-faq",1
31,"I haven’t received a card ","waiting-eppi-fees",1
31,"I haven’t received a card ","waiting-pmtqa-ncp-payment-status-submit-request",1
31,"I haven’t received a card ","waiting-eppi-activate",1
31,"I haven’t received a card ","waiting-eppi-get-card",1
31,"I haven’t received a card ","waiting-eppi-replace-report",1
31,"I haven’t received a card ","waiting-support-employer",1
31,"I haven’t received a card ","waiting-support-parent-paying",1
31,"I haven’t received a card ","waiting-support-parent-receiving",1
31,"I haven’t received a card ","waiting-pmts-general-non-custodial",1
31,"I haven’t received a card ","waiting-pmts-general-receive-payments",1
31,"I haven’t received a card ","waiting-support-type",1
31,"I haven’t received a card ","waiting-support-general-inquiries",1
31,"I haven’t received a card ","waiting-eppi-notifications",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-feedback-root",6
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-restart-conversation",6
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-pmtmethods-debit-card",3
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-support-cancel-issue",2
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-contact-support-handoff",1
31,"How much will I get and why did he get a card sent and will both kids be on ","payment-factors",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-contact-provide-phone-number",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-appts-office-locations",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-appts-guidelines",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-appts-schedule",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-eppi-faq",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-eppi-fees",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-pmtqa-ncp-payment-status-submit-request",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-eppi-activate",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-eppi-get-card",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-eppi-replace-report",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-support-employer",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-support-parent-paying",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-support-parent-receiving",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-pmts-general-non-custodial",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-pmts-general-receive-payments",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-support-type",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-support-general-inquiries",1
31,"How much will I get and why did he get a card sent and will both kids be on ","waiting-eppi-notifications",1
31,"No I have a card","waiting-feedback-root",6
31,"No I have a card","waiting-restart-conversation",6
31,"No I have a card","waiting-pmtmethods-debit-card",3
31,"No I have a card","waiting-support-cancel-issue",2
31,"No I have a card","waiting-contact-support-handoff",1
31,"No I have a card","payment-factors",1
31,"No I have a card","waiting-contact-provide-phone-number",1
31,"No I have a card","waiting-appts-office-locations",1
31,"No I have a card","waiting-appts-guidelines",1
31,"No I have a card","waiting-appts-schedule",1
31,"No I have a card","waiting-eppi-faq",1
31,"No I have a card","waiting-eppi-fees",1
31,"No I have a card","waiting-pmtqa-ncp-payment-status-submit-request",1
31,"No I have a card","waiting-eppi-activate",1
31,"No I have a card","waiting-eppi-get-card",1
31,"No I have a card","waiting-eppi-replace-report",1
31,"No I have a card","waiting-support-employer",1
31,"No I have a card","waiting-support-parent-paying",1
31,"No I have a card","waiting-support-parent-receiving",1
31,"No I have a card","waiting-pmts-general-non-custodial",1
31,"No I have a card","waiting-pmts-general-receive-payments",1
31,"No I have a card","waiting-support-type",1
31,"No I have a card","waiting-support-general-inquiries",1
31,"No I have a card","waiting-eppi-notifications",1
31,"Number on back of green PERSON_NAME card","waiting-feedback-root",6
31,"Number on back of green PERSON_NAME card","waiting-restart-conversation",6
31,"Number on back of green PERSON_NAME card","waiting-pmtmethods-debit-card",3
31,"Number on back of green PERSON_NAME card","waiting-support-cancel-issue",2
31,"Number on back of green PERSON_NAME card","waiting-contact-support-handoff",1
31,"Number on back of green PERSON_NAME card","payment-factors",1
31,"Number on back of green PERSON_NAME card","waiting-contact-provide-phone-number",1
31,"Number on back of green PERSON_NAME card","waiting-appts-office-locations",1
31,"Number on back of green PERSON_NAME card","waiting-appts-guidelines",1
31,"Number on back of green PERSON_NAME card","waiting-appts-schedule",1
31,"Number on back of green PERSON_NAME card","waiting-eppi-faq",1
31,"Number on back of green PERSON_NAME card","waiting-eppi-fees",1
31,"Number on back of green PERSON_NAME card","waiting-pmtqa-ncp-payment-status-submit-request",1
31,"Number on back of green PERSON_NAME card","waiting-eppi-activate",1
31,"Number on back of green PERSON_NAME card","waiting-eppi-get-card",1
31,"Number on back of green PERSON_NAME card","waiting-eppi-replace-report",1
31,"Number on back of green PERSON_NAME card","waiting-support-employer",1
31,"Number on back of green PERSON_NAME card","waiting-support-parent-paying",1
31,"Number on back of green PERSON_NAME card","waiting-support-parent-receiving",1
31,"Number on back of green PERSON_NAME card","waiting-pmts-general-non-custodial",1
31,"Number on back of green PERSON_NAME card","waiting-pmts-general-receive-payments",1
31,"Number on back of green PERSON_NAME card","waiting-support-type",1
31,"Number on back of green PERSON_NAME card","waiting-support-general-inquiries",1
31,"Number on back of green PERSON_NAME card","waiting-eppi-notifications",1
31,"Stolen card","waiting-feedback-root",6
31,"Stolen card","waiting-restart-conversation",6
31,"Stolen card","waiting-pmtmethods-debit-card",3
31,"Stolen card","waiting-support-cancel-issue",2
31,"Stolen card","waiting-contact-support-handoff",1
31,"Stolen card","payment-factors",1
